TITULO;PRECIO;ENVIO;ESTADO;CALIFICACION;LINK
iPhone X 64gb;$140.000;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1137653196-iphone-x-64gb-_JM#position=50&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
iPhone X 64gb Space Grace;$149.000;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1138429044-iphone-x-64gb-space-grace-_JM#position=39&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
 iPhone X 64 Gb  Plata ;$149.000;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1286562635-iphone-x-64-gb-plata-_JM#position=19&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
iPhone XS 64gb;$160.000;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-914734975-iphone-xs-64gb-_JM#position=51&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
iPhone X Space Gray 64gb Cargador Cable Funda Glass;$176.500;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1348142872-iphone-x-space-gray-64gb-cargador-cable-funda-glass-_JM#position=13&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
iPhone X 64gb Space Gray Cargador Cable Funda Glass;$176.500;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1348142839-iphone-x-64gb-space-gray-cargador-cable-funda-glass-_JM#position=10&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
iPhone X - 256 - 100% Batería + Accesorios;$179.000;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1143344781-iphone-x-256-100-bateria-accesorios-_JM#position=41&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
Celular iPhone X 256 Gb;$180.000;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1132693115-celular-iphone-x-256-gb-_JM#position=46&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
Apple iPhone XS Max 64gb Gold Cargador Cable Funda Glass;$186.300;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1160961604-apple-iphone-xs-max-64gb-gold-cargador-cable-funda-glass-_JM#position=3&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
Apple iPhone XS 64gb Silver Cargador Cable Funda Glass;$186.300;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1161051111-apple-iphone-xs-64gb-silver-cargador-cable-funda-glass-_JM#position=12&search_layout=stack&type=item&tracking_id=3c72fed1-8043-4c94-a2cf-0e90fca684be
