TITULO;PRECIO;ENVIO;ESTADO;CALIFICACION;LINK
iPhone XR %95 Sin Face Id Permuto Por iPhone X,xs,xr Blanco;$123.000;Envío gratis;Usado;;https://articulo.mercadolibre.com.ar/MLA-1296816114-iphone-xr-95-sin-face-id-permuto-por-iphone-xxsxr-blanco-_JM#position=46&search_layout=stack&type=item&tracking_id=5ef569c3-afdd-4fb3-bd98-14bbb24ccfe1
iPhone XR %95 Sin Face Id Permuto Por iPhone X,xs,xr Blanco;$123.000;Envío gratis;Usado;;https://articulo.mercadolibre.com.ar/MLA-1296816114-iphone-xr-95-sin-face-id-permuto-por-iphone-xxsxr-blanco-_JM#position=46&search_layout=stack&type=item&tracking_id=5ef569c3-afdd-4fb3-bd98-14bbb24ccfe1
iPhone XS Max 64gb Igual A Nuevo;$140.000;Envío gratis;Usado;;https://articulo.mercadolibre.com.ar/MLA-929986369-iphone-xs-max-64gb-igual-a-nuevo-_JM#position=43&search_layout=stack&type=item&tracking_id=5ef569c3-afdd-4fb3-bd98-14bbb24ccfe1
iPhone XS Max 64gb Igual A Nuevo;$140.000;Envío gratis;Usado;;https://articulo.mercadolibre.com.ar/MLA-929986369-iphone-xs-max-64gb-igual-a-nuevo-_JM#position=43&search_layout=stack&type=item&tracking_id=5ef569c3-afdd-4fb3-bd98-14bbb24ccfe1
iPhone XS 64 Gb  Gris Espacial Libre;$145.000;Sin envio gratuito;Usado;;https://articulo.mercadolibre.com.ar/MLA-1322698679-iphone-xs-64-gb-gris-espacial-libre-_JM#position=47&search_layout=stack&type=item&tracking_id=5ef569c3-afdd-4fb3-bd98-14bbb24ccfe1
iPhone XS 64 Gb  Gris Espacial Libre;$145.000;Sin envio gratuito;Usado;;https://articulo.mercadolibre.com.ar/MLA-1322698679-iphone-xs-64-gb-gris-espacial-libre-_JM#position=47&search_layout=stack&type=item&tracking_id=5ef569c3-afdd-4fb3-bd98-14bbb24ccfe1
Celular iPhone XS 64 Gb Blanco;$149.000;Envío gratis;Usado;;https://articulo.mercadolibre.com.ar/MLA-1286124929-celular-iphone-xs-64-gb-blanco-_JM#position=45&search_layout=stack&type=item&tracking_id=5ef569c3-afdd-4fb3-bd98-14bbb24ccfe1
Celular iPhone XS 64 Gb Blanco;$149.000;Envío gratis;Usado;;https://articulo.mercadolibre.com.ar/MLA-1286124929-celular-iphone-xs-64-gb-blanco-_JM#position=45&search_layout=stack&type=item&tracking_id=5ef569c3-afdd-4fb3-bd98-14bbb24ccfe1
iPhone XS Max Space Gray 256 Gb . Batería 87%;$150.000;Sin envio gratuito;Usado;;https://articulo.mercadolibre.com.ar/MLA-1313974128-iphone-xs-max-space-gray-256-gb-bateria-87-_JM#position=48&search_layout=stack&type=item&tracking_id=5ef569c3-afdd-4fb3-bd98-14bbb24ccfe1
iPhone XS Max Space Gray 256 Gb . Batería 87%;$150.000;Sin envio gratuito;Usado;;https://articulo.mercadolibre.com.ar/MLA-1313974128-iphone-xs-max-space-gray-256-gb-bateria-87-_JM#position=48&search_layout=stack&type=item&tracking_id=5ef569c3-afdd-4fb3-bd98-14bbb24ccfe1
