TITULO;PRECIO;ENVIO;ESTADO;CALIFICACION;LINK
Apple iPhone 13 Pro Max (256 GB) - Plata;$1.185.332;Envío gratis;Nuevo;21;https://www.mercadolibre.com.ar/apple-iphone-13-pro-max-256-gb-plata/p/MLA18494235?pdp_filters=category:MLA1055#searchVariation=MLA18494235&position=15&search_layout=stack&type=product&tracking_id=7318409e-c876-4dcf-90f1-6c2f73e403d2
Apple iPhone 13 Pro Max (256 GB) - Plata;$1.185.332;Envío gratis;Nuevo;21;https://www.mercadolibre.com.ar/apple-iphone-13-pro-max-256-gb-plata/p/MLA18494235?pdp_filters=category:MLA1055#searchVariation=MLA18494235&position=15&search_layout=stack&type=product&tracking_id=7318409e-c876-4dcf-90f1-6c2f73e403d2
Ceular Apple iPhone 8 64gb 2gb Ram 12mp Liberado Original;$109.999;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-795749587-ceular-apple-iphone-8-64gb-2gb-ram-12mp-liberado-original-_JM#position=44&search_layout=stack&type=item&tracking_id=7318409e-c876-4dcf-90f1-6c2f73e403d2
Ceular Apple iPhone 8 64gb 2gb Ram 12mp Liberado Original;$109.999;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-795749587-ceular-apple-iphone-8-64gb-2gb-ram-12mp-liberado-original-_JM#position=44&search_layout=stack&type=item&tracking_id=7318409e-c876-4dcf-90f1-6c2f73e403d2
 iPhone 7 32 GB  plata;$116.088;Envío gratis;Nuevo;543;https://www.mercadolibre.com.ar/iphone-7-32-gb-plata/p/MLA6240115?pdp_filters=category:MLA1055#searchVariation=MLA6240115&position=9&search_layout=stack&type=product&tracking_id=7318409e-c876-4dcf-90f1-6c2f73e403d2
 iPhone 7 32 GB  plata;$116.088;Envío gratis;Nuevo;543;https://www.mercadolibre.com.ar/iphone-7-32-gb-plata/p/MLA6240115?pdp_filters=category:MLA1055#searchVariation=MLA6240115&position=9&search_layout=stack&type=product&tracking_id=7318409e-c876-4dcf-90f1-6c2f73e403d2
iPhone 7 Plus 32gb Rose Gold Cargador Cable Funda Glass;$128.550;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1133490921-iphone-7-plus-32gb-rose-gold-cargador-cable-funda-glass-_JM#position=48&search_layout=stack&type=item&tracking_id=7318409e-c876-4dcf-90f1-6c2f73e403d2
iPhone 7 Plus 32gb Rose Gold Cargador Cable Funda Glass;$128.550;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1133490921-iphone-7-plus-32gb-rose-gold-cargador-cable-funda-glass-_JM#position=48&search_layout=stack&type=item&tracking_id=7318409e-c876-4dcf-90f1-6c2f73e403d2
Celular iPhone 8 64gb 2gb Ram Liberado Apple Original ;$129.999;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-795508322-celular-iphone-8-64gb-2gb-ram-liberado-apple-original-_JM#position=17&search_layout=stack&type=item&tracking_id=7318409e-c876-4dcf-90f1-6c2f73e403d2
Celular iPhone 8 64gb 2gb Ram Liberado Apple Original ;$129.999;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-795508322-celular-iphone-8-64gb-2gb-ram-liberado-apple-original-_JM#position=17&search_layout=stack&type=item&tracking_id=7318409e-c876-4dcf-90f1-6c2f73e403d2
 iPhone SE 2da Generacion - 64 Gb (product)red;$135.500;Envío gratis;Nuevo;;https://articulo.mercadolibre.com.ar/MLA-920373988-iphone-se-2da-generacion-64-gb-productred-_JM#position=40&search_layout=stack&type=item&tracking_id=7318409e-c876-4dcf-90f1-6c2f73e403d2
 iPhone SE 2da Generacion - 64 Gb (product)red;$135.500;Envío gratis;Nuevo;;https://articulo.mercadolibre.com.ar/MLA-920373988-iphone-se-2da-generacion-64-gb-productred-_JM#position=40&search_layout=stack&type=item&tracking_id=7318409e-c876-4dcf-90f1-6c2f73e403d2
iPhone 8 Plus 64gb;$146.000;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1146632302-iphone-8-plus-64gb-_JM#position=23&search_layout=stack&type=item&tracking_id=7318409e-c876-4dcf-90f1-6c2f73e403d2
iPhone 8 Plus 64gb;$146.000;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1146632302-iphone-8-plus-64gb-_JM#position=23&search_layout=stack&type=item&tracking_id=7318409e-c876-4dcf-90f1-6c2f73e403d2
Celular Apple iPhone 8 64gb 2gb Ram Liberado Original ;$149.999;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-805289590-celular-apple-iphone-8-64gb-2gb-ram-liberado-original-_JM#position=30&search_layout=stack&type=item&tracking_id=7318409e-c876-4dcf-90f1-6c2f73e403d2
Celular Apple iPhone 8 64gb 2gb Ram Liberado Original ;$149.999;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-805289590-celular-apple-iphone-8-64gb-2gb-ram-liberado-original-_JM#position=30&search_layout=stack&type=item&tracking_id=7318409e-c876-4dcf-90f1-6c2f73e403d2
iPhone 7 Plus 128gb Rose Gold Cargador Cable Glass Funda;$163.200;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1130122184-iphone-7-plus-128gb-rose-gold-cargador-cable-glass-funda-_JM#position=25&search_layout=stack&type=item&tracking_id=7318409e-c876-4dcf-90f1-6c2f73e403d2
iPhone 7 Plus 128gb Rose Gold Cargador Cable Glass Funda;$163.200;Envío gratis;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1130122184-iphone-7-plus-128gb-rose-gold-cargador-cable-glass-funda-_JM#position=25&search_layout=stack&type=item&tracking_id=7318409e-c876-4dcf-90f1-6c2f73e403d2
