TITULO;PRECIO;ENVIO;ESTADO;LINK
Apple MacBook Pro (14 pulgadas, Chip M1 Pro de Apple con CPU de 10 núcleos,, 16 GB RAM, 1 TB SSD) - gris espacial;$1.099.999;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/apple-macbook-pro-14-pulgadas-chip-m1-pro-de-apple-con-cpu-de-10-nucleos-16-gb-ram-1-tb-ssd-gris-espacial/p/MLA18623988?pdp_filters=category:MLA1652#searchVariation=MLA18623988&position=25&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
Notebook Asus Zenbook Duo I9 32gb 1tb Win11 Rtx 3080;$1.328.499;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/notebook-asus-zenbook-duo-i9-32gb-1tb-win11-rtx-3080/p/MLA19888457?pdp_filters=category:MLA1652#searchVariation=MLA19888457&position=37&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
Notebook Gadnic Lumina Pro Intel Dual Core 4gb 64gb Ssd 15,6  Windows;$103.799;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/notebook-gadnic-lumina-pro-intel-dual-core-4gb-64gb-ssd-156-windows/p/MLA18948614?pdp_filters=category:MLA1652#searchVariation=MLA18948614&position=17&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
Notebook Acer Aspire 3 Dual Core 8gb/ssd 240 L14.01  W10 ;$119.999;Envío gratis;Nuevo;https://articulo.mercadolibre.com.ar/MLA-1121786880-notebook-acer-aspire-3-dual-core-8gbssd-240-l1401-w10-_JM#position=40&search_layout=stack&type=item&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
Notebook Lenovo Ideapad  14  Hd Celeron 4gb 128gb 81vu00hlar;$134.999;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/notebook-lenovo-ideapad-14-hd-celeron-4gb-128gb-81vu00hlar/p/MLA21233231?pdp_filters=category:MLA1652#searchVariation=MLA21233231&position=32&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
Notebook Asus X515 Intel Core I3 15.6 Led 4gb Ddr4 256gb Ssd;$148.999;Envío gratis;Nuevo;https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=3bJdwIt11xFlzdo4JdlNGL6qRD3%2BItIohcnSVq7lHBRTekMw%2BuYQgsoPhMqeJJV9Vwpv%2FCPGbGjm%2BaMxB4fhnzDRtGhj4OimvOcGHnfOHMP9MLqEV5l5rYLbJXEIJzZrwpwZQXxqoBJsk9AKy1uzjxcznnnDJX3tE3ymZ4GYX3nhKpmKJtpNTTKuhg2kmlYGATgnYfVlHwxS9ade3lJUfwRWFYv3yjFCiHeGib9nKDaTtJu1%2F%2BRbAwz0Dja1TCU6H0TYlrB%2F5tH7j2EZ7yYZM8lLOOOjrh3K2PqI3p4Mo%2F9yyGL2x3ZhKLqfx059xGFT48O4Iads7mwRPECXi%2FExVxM8t5NkknwB5vEeQqMoYBkvx8ABvM1gFSm0WaeAFAlofq6A2sriW5oNOBwnHsjYqBCendmzKdFwWfpayLESY6zxajdCo7SDZINNcr2ffsUmZdqOnfilqvC0soyPi1IMr0gbTH9%2BQ6dXYZ9HVTwPRX9F%2FQ52j0gmg5arhW3Sl4kofN7lV6LbKby3lX8kI%2B33y9fLmSYE6a5aDGkuNgU88dhBrwdFJetSPbVVL5UcqBwUPbcE2jwwpc6ias%2Bcd2NwOhLFhK4HY6l4W%2BWFBgKWLNGFFJT0my7mO0ejzBoIesLKbWw14AMc5HurrNRuHhbHoHEH96mTeMoExI2G%2F9gMoI7lY5BbGu2e0F7vAWk5vC1DIr63GzL%2BG1j4fkcyOI8K9%2FVw&rb=x
Notebook Exo Smart T56 Dual Core Ram 4gb Ssd 128gb Windows;$150.749;Envío gratis;Nuevo;https://articulo.mercadolibre.com.ar/MLA-1181193268-notebook-exo-smart-t56-dual-core-ram-4gb-ssd-128gb-windows-_JM#position=56&search_layout=stack&type=item&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
Notebook Asus X515ea Slate Gray 15.6 , Intel Core I3 1115g4 4gb De Ram Ddr4 256gb Ssd, 1920x1080px Windows 10 Home;$162.999;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/notebook-asus-x515ea-slate-gray-156-intel-core-i3-1115g4-4gb-de-ram-ddr4-256gb-ssd-1920x1080px-windows-10-home/p/MLA19089015?pdp_filters=category:MLA1652#searchVariation=MLA19089015&position=7&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
Notebook Lenovo Ideapad 3i Intel I3 11va 8gb 256gb Tch Win11;$164.899;Envío gratis;Nuevo;https://articulo.mercadolibre.com.ar/MLA-1330857370-notebook-lenovo-ideapad-3i-intel-i3-11va-8gb-256gb-tch-win11-_JM#position=43&search_layout=stack&type=item&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
"Notebook Lenovo IdeaPad 15ITL05  platinum grey 15.6"", Intel Core i3 1115G4  8GB de RAM 256GB SSD, Intel UHD Graphics Xe G4 48EUs 1366x768px Windows 11 Home";$168.999;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/notebook-lenovo-ideapad-15itl05-platinum-grey-156-intel-core-i3-1115g4-8gb-de-ram-256gb-ssd-intel-uhd-graphics-xe-g4-48eus-1366x768px-windows-11-home/p/MLA19104080?pdp_filters=category:MLA1652#searchVariation=MLA19104080&position=11&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
